""	"GSE139948-GSM4141788-92017_Myeloid"	"GSE139948-GSM4141788-92017_Tumor"	"GSE139948-GSM4141789-92217_Myeloid"	"GSE139948-GSM4141789-92217_Stroma"	"GSE139948-GSM4141789-92217_Tumor"	"GSE139948-GSM4141790-92717_Myeloid"	"GSE139948-GSM4141790-92717_Stroma"	"GSE139948-GSM4141790-92717_Tumor"
"CFL1"	7.57809914540602	6.97575640854659	5.49618637179799	5.67502643778553	5.3772589041872	6.39158819004204	5.92375965100177	5.5638152602404
"TMCC1"	1.01875136121762	1.37544475786002	1.02220244700479	1.12846853151883	1.23895512160797	1.0582556160516	1.12867068761362	1.10864192568263
"NAA16"	1.09229048337548	1.15239480305149	1.08757362490966	1.10331196459953	1.1634332410368	1.08685457093502	1.09259917994258	1.14349174593953
"EFCAB12"	1	1.0008101399569	1	1	1	1	1	1.00227865762141
"FAM192A"	1.38368245343411	1.49101154907839	1.22362168092773	1.4135889734412	1.3618409147484	1.35951679443469	1.31877310950436	1.40177781513601
"CBWD1"	1.1282446733515	1.2008397795052	1.02220244700479	1	1.13921284749078	1.11793360464775	1.09259917994258	1.11130258166211
"HOXC5"	1	1.00768465666746	1	1	1.01445472475176	1	1	1.01212649107945
"RAB37"	1	1.00060763219248	1.2338050675219	1	1.0059000566314	1.00294802018497	1	1.0043022073917
"DCP2"	1.30103961247357	1.14267426263083	1.22362168092773	1.05221763352791	1.17720928953617	1.24133297566681	1.21670904246344	1.15088129017478
"SNX32"	1.01875136121762	1.04473407205923	1	1	1.01898641873472	1.00589220926999	1	1.01338596295789
"RPL38"	4.90256341598803	5.60552132332911	5.83780832905857	4.75967147274487	4.93088956715578	5.89363991451932	5.29856444871871	5.17683211799525
"CYP7B1"	1	1.00182240684219	1.01112820232173	1.02625586580147	1.00456048252681	1	1	1
"RARG"	1	1.00465434906001	1	1	1.00991405120185	1.00294802018497	1.01881503832228	1.00455502417415
"CES4A"	1.03735115003241	1.00627101587079	1.02220244700479	1.10331196459953	1.00214725382562	1.02347805892595	1	1.00253170019808
"CES3"	1	1.00121510107763	1	1	1.00187895854587	1.00294802018497	1	1.00050656685731
"SSH3"	1.01875136121762	1.00990432042628	1.03322383099053	1.02625586580147	1.02775788359354	1.03512793573272	1.01881503832228	1.05035947394029
"CES2"	1.1282446733515	1.21927110926521	1.15124870291457	1.36794878383046	1.22916866345443	1.19265455085604	1.14651581774123	1.2618573493817
