""	"Myeloid"	"Stroma"	"Tumor"
"NIN"	1.4364460773994	1.2572527347559	1.64845123212371
"NINJ1"	2.1688460628022	2.79263543470265	1.52088922155995
"NINJ2"	1.10196246272923	1.73606774549477	1.01786128717037
"NINL"	1.05519738321499	1.04819332355487	1.06033330474834
"NIP7"	1.32941088345045	1.37847451059427	1.40200705503763
"NIPA1"	1.11353972342779	1.24398152697155	1.15157728198746
"NIPA2"	1.69856188485855	1.74063218038918	1.56318049851964
"NIPAL1"	1.01079119980082	1.00504315098329	1.01179599971634
"NIPAL2"	1.03610070021163	1.09637564844212	1.00817145023402
"NIPAL3"	1.25301365148816	1.64037065673776	1.10183214347511
"NIPAL4"	1.01391866258582	1.22527676860525	1.00231006791891
"NIPBL"	1.58485304382456	1.5937717521819	1.56930094794105
"NIPSNAP1"	1.26339937681414	1.29438321783905	1.68972645029572
"NIPSNAP3A"	1.22800859517655	1.68816573382323	1.08976276957051
"NIPSNAP3B"	1.06765226812328	1.14714928461443	1.01694421129199
"NISCH"	1.6215059900544	1.72711385253798	1.84127359624648
"NIT1"	1.40515716592838	1.37993345527474	1.40692062884617
"NIT2"	1.7331998327482	1.53051803868204	1.69313582616142
"NKAIN1"	1.14414994369392	1.04393620549053	1.1930610876088
"NKAIN2"	1.00991883018803	1.35749853947082	1.00933764263683
"NKAIN3"	1.04583679758945	1.00820455912028	1.11304434750918
"NKAIN4"	2.20423593732428	1.05885671164192	2.08078638508039
"NKAP"	1.28295710206765	1.41427681883059	1.37580759490381
"NKAPL"	1.01192855210011	1.04780701112295	1.01389951209682
"NKAPP1"	1.04578311769068	1.05501703535804	1.04853181838814
"NKD1"	1.29785376854574	1.15665051519848	1.48134802800147
"NKD2"	1.00129526445776	1.01827190054021	1.00233494469945
"NKG7"	1.00639808296498	1.19307915623142	1.0024892222733
"NKIRAS1"	1.54550445858709	1.25667681431947	1.59139443710842
"NKIRAS2"	1.65212580790097	1.56052807047718	1.67032379518557
"NKPD1"	1.04766916119122	1.03622630388551	1.05112065871713
"NKRF"	1.21826538534381	1.15647096151578	1.20232971180671
"NKTR"	1.62837663915402	1.61092507861863	1.80802042367664
"NKX2-1"	1.0048963507166	1.00206539194013	1.01310202321861
"NKX2-2"	1.30829764457328	1.06217652938634	1.25369622008324
"NKX2-3"	1.00500896094978	1.00173545324734	1.00016341918697
